[2024-05-03 19:53:20,887: INFO: main: Welcome to our custom log!]
[2024-05-04 08:13:18,630: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-04 08:13:18,637: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-04 08:13:18,639: INFO: common: created directory at: root]
[2024-05-04 08:13:18,640: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-04 08:13:18,640: INFO: 3139791535: Downloading data from https://drive.google.com/file/d/1Sv4oGZbUC9BJW0P0syig7eeVlhBgSQ45/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-04 08:16:26,516: INFO: 3139791535: Downloaded data from https://drive.google.com/file/d/1Sv4oGZbUC9BJW0P0syig7eeVlhBgSQ45/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-04 09:38:57,839: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-04 09:38:57,841: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-04 09:38:57,841: INFO: common: created directory at: root]
[2024-05-04 09:38:57,842: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-04 09:38:57,843: INFO: 3139791535: Downloading data from https://drive.google.com/file/d/1Sv4oGZbUC9BJW0P0syig7eeVlhBgSQ45/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-04 09:41:37,806: INFO: 3139791535: Downloaded data from https://drive.google.com/file/d/1Sv4oGZbUC9BJW0P0syig7eeVlhBgSQ45/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-04 09:43:09,995: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-04 09:43:09,996: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-04 09:43:09,997: INFO: common: created directory at: root]
[2024-05-04 09:43:09,998: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-04 09:43:09,998: INFO: 2966150659: Downloading data from https://drive.google.com/file/d/1Sv4oGZbUC9BJW0P0syig7eeVlhBgSQ45/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-04 09:45:47,336: INFO: 2966150659: Downloaded data from https://drive.google.com/file/d/1Sv4oGZbUC9BJW0P0syig7eeVlhBgSQ45/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-04 16:35:43,589: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2024-05-04 16:35:43,590: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-04 16:35:43,590: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-04 16:35:43,591: INFO: common: created directory at: root]
[2024-05-04 16:35:43,591: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-04 16:35:43,591: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1Sv4oGZbUC9BJW0P0syig7eeVlhBgSQ45/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-04 16:38:22,221: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1Sv4oGZbUC9BJW0P0syig7eeVlhBgSQ45/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-04 16:38:30,595: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
[2024-05-04 18:05:34,526: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-04 18:05:34,530: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-04 18:05:34,532: INFO: common: created directory at: root]
